Quarter of Date,Variant,Cases
2021 Q3,Alpha,154
2021 Q3,Alpha,65
2021 Q3,Alpha,182
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,5
2021 Q3,Alpha,0
2021 Q3,Alpha,4
2021 Q3,Alpha,131
2021 Q3,Alpha,2158
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,13
2021 Q3,Alpha,0
2021 Q3,Alpha,3
2021 Q3,Alpha,3
2021 Q3,Alpha,1
2021 Q3,Alpha,0
2021 Q3,Alpha,39
2021 Q3,Alpha,1
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,12
2021 Q3,Alpha,7
2021 Q3,Alpha,43
2021 Q3,Alpha,0
2021 Q3,Alpha,345
2021 Q3,Alpha,20
2021 Q3,Alpha,2
2021 Q3,Alpha,6
2021 Q3,Alpha,8
2021 Q3,Alpha,0
2021 Q3,Alpha,3
2021 Q3,Alpha,91
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,14
2021 Q3,Alpha,0
2021 Q3,Alpha,2
2021 Q3,Alpha,0
2021 Q3,Alpha,14
2021 Q3,Alpha,213
2021 Q3,Alpha,0
2021 Q3,Alpha,6
2021 Q3,Alpha,70
2021 Q3,Alpha,0
2021 Q3,Alpha,15
2021 Q3,Alpha,0
2021 Q3,Alpha,3
2021 Q3,Alpha,2
2021 Q3,Alpha,2
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,25
2021 Q3,Alpha,5
2021 Q3,Alpha,87
2021 Q3,Alpha,2
2021 Q3,Alpha,2828
2021 Q3,Alpha,0
2021 Q3,Alpha,5
2021 Q3,Alpha,2
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,5
2021 Q3,Alpha,2
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,18
2021 Q3,Alpha,0
2021 Q3,Alpha,31
2021 Q3,Alpha,3
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,29
2021 Q3,Alpha,0
2021 Q3,Alpha,5
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,138
2021 Q3,Alpha,7
2021 Q3,Alpha,5
2021 Q3,Alpha,0
2021 Q3,Alpha,7
2021 Q3,Alpha,1
2021 Q3,Alpha,2
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,7
2021 Q3,Alpha,4
2021 Q3,Alpha,13
2021 Q3,Alpha,2
2021 Q3,Alpha,19
2021 Q3,Alpha,158
2021 Q3,Alpha,13
2021 Q3,Alpha,2
2021 Q3,Alpha,34
2021 Q3,Alpha,36
2021 Q3,Alpha,57
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,917
2021 Q3,Alpha,0
2021 Q3,Alpha,140
2021 Q3,Alpha,1127
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,9
2021 Q3,Alpha,0
2021 Q3,Alpha,3
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,10
