Date,Location,Variant,Num Sequences,Num Sequences Total,Perc Sequences
5/31/2021,Norway,Alpha,1356,1417,95.7
5/31/2021,Norway,B.1.1.277,0,1417,0
5/31/2021,Norway,B.1.1.302,0,1417,0
5/31/2021,Norway,B.1.1.519,0,1417,0
5/31/2021,Norway,B.1.160,0,1417,0
5/31/2021,Norway,B.1.177,0,1417,0
5/31/2021,Norway,B.1.221,0,1417,0
5/31/2021,Norway,B.1.258,0,1417,0
5/31/2021,Norway,B.1.367,0,1417,0
5/31/2021,Norway,B.1.620,0,1417,0
5/31/2021,Norway,Beta,2,1417,0.14
5/31/2021,Norway,Delta,50,1417,3.53
5/31/2021,Norway,Epsilon,0,1417,0
5/31/2021,Norway,Eta,0,1417,0
5/31/2021,Norway,Gamma,0,1417,0
5/31/2021,Norway,Iota,0,1417,0
5/31/2021,Norway,Kappa,0,1417,0
5/31/2021,Norway,Lambda,0,1417,0
5/31/2021,Norway,Mu,0,1417,0
5/31/2021,Norway,Omicron,0,1417,0
5/31/2021,Norway,S:677H.Robin1,0,1417,0
5/31/2021,Norway,S:677P.Pelican,0,1417,0
5/31/2021,Norway,others,9,1417,0.63
5/31/2021,Norway,non_who,9,1417,0.63
6/14/2021,Norway,Alpha,1033,1134,91.09
6/14/2021,Norway,B.1.1.277,0,1134,0
6/14/2021,Norway,B.1.1.302,0,1134,0
6/14/2021,Norway,B.1.1.519,0,1134,0
6/14/2021,Norway,B.1.160,0,1134,0
6/14/2021,Norway,B.1.177,0,1134,0
6/14/2021,Norway,B.1.221,0,1134,0
6/14/2021,Norway,B.1.258,0,1134,0
6/14/2021,Norway,B.1.367,0,1134,0
6/14/2021,Norway,B.1.620,0,1134,0
6/14/2021,Norway,Beta,1,1134,0.09
6/14/2021,Norway,Delta,92,1134,8.11
6/14/2021,Norway,Epsilon,0,1134,0
6/14/2021,Norway,Eta,0,1134,0
6/14/2021,Norway,Gamma,2,1134,0.18
6/14/2021,Norway,Iota,0,1134,0
6/14/2021,Norway,Kappa,0,1134,0
6/14/2021,Norway,Lambda,0,1134,0
6/14/2021,Norway,Mu,0,1134,0
6/14/2021,Norway,Omicron,0,1134,0
6/14/2021,Norway,S:677H.Robin1,0,1134,0
6/14/2021,Norway,S:677P.Pelican,0,1134,0
6/14/2021,Norway,others,6,1134,0.53
6/14/2021,Norway,non_who,6,1134,0.53
6/28/2021,Norway,Alpha,648,827,78.36
6/28/2021,Norway,B.1.1.277,0,827,0
6/28/2021,Norway,B.1.1.302,0,827,0
6/28/2021,Norway,B.1.1.519,0,827,0
6/28/2021,Norway,B.1.160,0,827,0
6/28/2021,Norway,B.1.177,0,827,0
6/28/2021,Norway,B.1.221,0,827,0
6/28/2021,Norway,B.1.258,0,827,0
6/28/2021,Norway,B.1.367,0,827,0
6/28/2021,Norway,B.1.620,0,827,0
6/28/2021,Norway,Beta,1,827,0.12
6/28/2021,Norway,Delta,169,827,20.44
6/28/2021,Norway,Epsilon,0,827,0
6/28/2021,Norway,Eta,0,827,0
6/28/2021,Norway,Gamma,1,827,0.12
6/28/2021,Norway,Iota,0,827,0
6/28/2021,Norway,Kappa,0,827,0
6/28/2021,Norway,Lambda,0,827,0
6/28/2021,Norway,Mu,0,827,0
6/28/2021,Norway,Omicron,0,827,0
6/28/2021,Norway,S:677H.Robin1,0,827,0
6/28/2021,Norway,S:677P.Pelican,0,827,0
6/28/2021,Norway,others,8,827,0.96
6/28/2021,Norway,non_who,8,827,0.96
7/12/2021,Norway,Alpha,366,867,42.21
7/12/2021,Norway,B.1.1.277,0,867,0
7/12/2021,Norway,B.1.1.302,0,867,0
7/12/2021,Norway,B.1.1.519,0,867,0
